Numero Departement,Année,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre d agents cynophiles,Nombre de chiens de patrouille de police municipale,Nombre de maîtres chiens de police municipale,somme_ligne
01,2016,150,44.0,26.0,2.0,2,0.0,224.0
01,2017,156,47.0,19.0,0.0,1,1.0,224.0
01,2018,142,41.0,16.0,0.0,1,1.0,201.0
02,2016,51,31.0,8.0,0.0,0,0.0,90.0
02,2017,65,33.0,9.0,0.0,0,0.0,107.0
02,2018,155,64.0,10.0,0.0,0,0.0,229.0
03,2016,61,23.0,5.0,4.0,2,0.0,95.0
03,2017,58,21.0,5.0,0.0,2,4.0,90.0
03,2018,32,11.0,5.0,0.0,0,0.0,48.0
04,2016,65,26.0,2.0,0.0,0,0.0,93.0
04,2017,60,31.0,2.0,0.0,2,2.0,97.0
04,2018,61,32.0,2.0,0.0,2,2.0,99.0
05,2016,44,50.0,5.0,0.0,0,0.0,99.0
05,2017,42,62.0,4.0,0.0,0,0.0,108.0
05,2018,34,53.0,2.0,0.0,0,0.0,89.0
06,2016,1215,426.0,8.0,29.0,19,0.0,1697.0
06,2017,1208,428.0,9.0,0.0,14,7.0,1666.0
06,2018,789,210.0,4.0,0.0,16,16.0,1035.0
07,2016,48,20.0,1.0,0.0,0,0.0,69.0
07,2017,53,31.0,5.0,0.0,0,0.0,89.0
07,2018,48,27.0,5.0,0.0,0,0.0,80.0
08,2016,72,12.0,0.0,0.0,0,0.0,84.0
08,2017,75,10.0,0.0,0.0,0,0.0,85.0
08,2018,76,10.0,4.0,0.0,0,0.0,90.0
09,2016,22,14.0,6.0,0.0,0,0.0,42.0
09,2017,24,15.0,6.0,0.0,0,0.0,45.0
09,2018,25,13.0,4.0,0.0,0,0.0,42.0
10,2016,76,18.0,1.0,0.0,0,0.0,95.0
10,2017,77,17.0,1.0,0.0,0,0.0,95.0
10,2018,85,14.0,1.0,0.0,1,2.0,103.0
11,2016,197,33.0,1.0,0.0,1,0.0,232.0
11,2017,216,36.0,1.0,0.0,1,1.0,255.0
11,2018,144,59.0,11.0,0.0,1,1.0,216.0
12,2016,30,16.0,6.0,0.0,0,0.0,52.0
12,2017,34,18.0,9.0,0.0,0,0.0,61.0
12,2018,31,18.0,6.0,0.0,0,0.0,55.0
13,2016,1387,387.0,15.0,6.0,6,0.0,1801.0
13,2017,1416,348.0,16.0,0.0,9,12.0,1801.0
13,2018,1420,314.0,16.0,0.0,12,17.0,1779.0
14,2016,171,87.0,14.0,0.0,0,0.0,272.0
14,2017,169,86.0,6.0,0.0,0,0.0,261.0
14,2018,171,97.0,6.0,0.0,0,0.0,274.0
15,2016,9,3.0,0.0,0.0,0,0.0,12.0
15,2017,13,0.0,0.0,0.0,0,0.0,13.0
15,2018,9,4.0,1.0,0.0,0,0.0,14.0
16,2016,65,12.0,0.0,0.0,0,0.0,77.0
16,2017,56,16.0,0.0,0.0,0,0.0,72.0
16,2018,56,18.0,5.0,0.0,0,0.0,79.0
17,2016,179,16.0,16.0,0.0,0,0.0,211.0
17,2017,191,12.0,19.0,0.0,0,0.0,222.0
17,2018,162,60.0,13.0,0.0,0,0.0,235.0
18,2016,59,39.0,1.0,1.0,1,0.0,101.0
18,2017,60,32.0,17.0,0.0,1,2.0,112.0
18,2018,49,32.0,9.0,0.0,1,1.0,92.0
19,2016,27,5.0,0.0,3.0,3,0.0,38.0
19,2017,27,19.0,1.0,0.0,3,3.0,53.0
21,2016,102,28.0,1.0,0.0,0,0.0,131.0
21,2017,120,23.0,2.0,0.0,0,0.0,145.0
21,2018,55,2.0,1.0,0.0,0,0.0,58.0
22,2016,75,29.0,1.0,0.0,0,0.0,105.0
22,2017,79,26.0,1.0,0.0,0,0.0,106.0
22,2018,71,10.0,1.0,0.0,0,0.0,82.0
23,2016,0,1.0,0.0,0.0,0,0.0,1.0
23,2017,0,1.0,0.0,0.0,0,0.0,1.0
23,2018,0,0.0,0.0,0.0,0,0.0,0.0
24,2016,54,27.0,6.0,0.0,0,0.0,87.0
24,2017,60,32.0,2.0,0.0,0,0.0,94.0
24,2018,56,30.0,2.0,0.0,0,0.0,88.0
25,2016,104,27.0,2.0,0.0,0,0.0,133.0
25,2017,103,27.0,3.0,0.0,0,0.0,133.0
25,2018,46,17.0,2.0,0.0,0,0.0,65.0
26,2016,208,45.0,9.0,6.0,3,0.0,271.0
26,2017,212,47.0,10.0,0.0,4,6.0,279.0
26,2018,183,38.0,8.0,0.0,5,7.0,241.0
27,2016,114,32.0,6.0,6.0,6,0.0,164.0
27,2017,116,33.0,4.0,0.0,4,5.0,162.0
27,2018,102,27.0,0.0,0.0,5,6.0,140.0
28,2016,107,19.0,12.0,2.0,2,0.0,142.0
28,2017,100,20.0,0.0,0.0,1,1.0,122.0
28,2018,96,0.0,0.0,0.0,0,0.0,96.0
29,2016,70,47.0,4.0,0.0,0,0.0,121.0
29,2017,69,50.0,3.0,0.0,0,0.0,122.0
29,2018,64,36.0,5.0,0.0,0,0.0,105.0
30,2016,550,119.0,33.0,10.0,8,0.0,720.0
30,2017,576,125.0,44.0,0.0,8,10.0,763.0
30,2018,500,75.0,11.0,0.0,6,8.0,600.0
31,2016,529,95.0,11.0,9.0,9,0.0,653.0
31,2017,564,90.0,17.0,0.0,10,10.0,691.0
31,2018,589,101.0,15.0,0.0,7,7.0,719.0
32,2016,24,12.0,2.0,0.0,0,0.0,38.0
32,2017,22,14.0,2.0,0.0,0,0.0,38.0
32,2018,25,11.0,0.0,0.0,0,0.0,36.0
33,2016,415,192.0,20.0,5.0,5,0.0,637.0
33,2017,411,144.0,8.0,0.0,4,5.0,572.0
33,2018,452,103.0,7.0,0.0,3,3.0,568.0
34,2016,863,249.0,21.0,11.0,11,0.0,1155.0
34,2017,874,236.0,22.0,0.0,8,11.0,1151.0
34,2018,742,146.0,15.0,0.0,5,8.0,916.0
35,2016,202,41.0,4.0,7.0,5,0.0,259.0
35,2017,202,43.0,4.0,0.0,8,11.0,268.0
35,2018,206,45.0,4.0,0.0,8,10.0,273.0
36,2016,37,10.0,1.0,0.0,0,0.0,48.0
36,2017,36,12.0,1.0,0.0,0,0.0,49.0
36,2018,34,7.0,1.0,0.0,0,0.0,42.0
37,2016,194,47.0,1.0,5.0,5,0.0,252.0
37,2017,191,42.0,7.0,0.0,5,7.0,252.0
37,2018,195,39.0,9.0,0.0,3,3.0,249.0
38,2016,367,97.0,28.0,5.0,5,0.0,502.0
38,2017,400,113.0,32.0,0.0,4,4.0,553.0
38,2018,222,46.0,19.0,0.0,0,0.0,287.0
39,2016,44,9.0,1.0,0.0,0,0.0,54.0
39,2017,42,11.0,1.0,0.0,0,0.0,54.0
39,2018,40,9.0,1.0,0.0,0,0.0,50.0
40,2016,100,15.0,9.0,0.0,0,0.0,124.0
40,2017,95,54.0,1.0,0.0,1,1.0,152.0
40,2018,87,48.0,1.0,0.0,1,1.0,138.0
41,2016,67,15.0,11.0,0.0,0,0.0,93.0
41,2017,71,16.0,8.0,0.0,4,4.0,103.0
41,2018,66,16.0,9.0,0.0,0,0.0,91.0
42,2016,260,90.0,3.0,2.0,2,0.0,357.0
42,2017,272,95.5,3.0,0.0,1,1.0,372.5
42,2018,278,101.0,3.0,0.0,0,3.0,385.0
43,2016,28,11.0,1.0,0.0,0,0.0,40.0
43,2017,25,12.0,1.0,0.0,0,0.0,38.0
43,2018,29,14.0,1.0,0.0,0,0.0,44.0
44,2016,261,46.0,0.0,2.0,1,0.0,310.0
44,2017,274,45.0,0.0,0.0,0,0.0,319.0
44,2018,171,71.0,2.0,0.0,2,1.0,247.0
45,2016,273,36.0,40.0,25.0,25,0.0,399.0
45,2017,277,29.0,39.0,0.0,23,23.0,391.0
45,2018,263,30.0,27.0,0.0,23,23.0,366.0
46,2016,18,19.0,1.0,0.0,0,0.0,38.0
46,2017,20,18.0,1.0,0.0,0,0.0,39.0
46,2018,10,11.0,1.0,0.0,0,0.0,22.0
47,2016,65,17.0,2.0,2.0,2,0.0,88.0
47,2017,40,13.0,2.0,0.0,0,1.0,56.0
47,2018,45,16.0,0.0,0.0,0,1.0,62.0
48,2016,10,4.0,0.0,0.0,0,0.0,14.0
48,2017,9,3.0,0.0,0.0,0,0.0,12.0
48,2018,2,1.0,0.0,0.0,0,0.0,3.0
49,2016,104,48.0,10.0,1.0,1,0.0,164.0
49,2017,99,54.0,12.0,0.0,2,2.0,169.0
49,2018,101,45.0,6.0,0.0,2,2.0,156.0
50,2016,45,16.0,12.0,0.0,0,0.0,73.0
50,2017,42,18.0,0.0,0.0,0,0.0,60.0
50,2018,44,21.0,16.0,0.0,0,0.0,81.0
51,2016,135,34.0,3.0,0.0,0,0.0,172.0
51,2017,152,38.0,2.0,0.0,0,0.0,192.0
51,2018,158,39.0,3.0,0.0,0,0.0,200.0
52,2016,6,1.0,1.0,0.0,0,0.0,8.0
52,2017,3,6.0,3.0,0.0,0,0.0,12.0
52,2018,15,6.0,3.0,0.0,0,0.0,24.0
53,2016,16,8.0,1.0,0.0,0,0.0,25.0
53,2017,16,9.0,1.0,0.0,0,0.0,26.0
53,2018,17,4.0,0.0,0.0,0,0.0,21.0
54,2016,150,36.0,3.0,0.0,0,0.0,189.0
54,2017,136,17.0,1.0,0.0,0,0.0,154.0
54,2018,126,14.0,2.0,0.0,2,0.0,144.0
55,2016,18,6.0,2.0,0.0,0,0.0,26.0
55,2017,20,6.0,2.0,0.0,0,0.0,28.0
55,2018,19,6.0,0.0,0.0,0,0.0,25.0
56,2016,126,56.0,7.0,0.0,0,0.0,189.0
56,2017,28,12.0,1.0,0.0,0,0.0,41.0
56,2018,100,46.0,4.0,0.0,0,0.0,150.0
57,2016,290,60.0,12.0,0.0,0,0.0,362.0
57,2017,243,57.0,13.0,0.0,3,3.0,319.0
57,2018,137,31.0,5.0,0.0,4,4.0,181.0
58,2016,36,6.0,7.0,0.0,0,0.0,49.0
58,2017,36,6.0,7.0,0.0,0,0.0,49.0
58,2018,20,8.0,3.0,0.0,0,0.0,31.0
59,2016,714,204.0,6.0,7.0,4,0.0,935.0
59,2017,561,202.5,8.0,0.0,6,13.0,790.5
59,2018,768,231.0,8.0,0.0,12,23.0,1042.0
60,2016,276,67.0,14.0,13.0,14,0.0,384.0
60,2017,272,65.0,13.0,0.0,12,12.0,374.0
60,2018,268,48.0,7.0,0.0,13,13.0,349.0
61,2016,25,10.0,3.0,0.0,0,0.0,38.0
61,2017,23,11.0,3.0,0.0,0,0.0,37.0
61,2018,19,10.0,3.0,0.0,0,0.0,32.0
62,2016,198,145.0,15.0,6.0,6,0.0,370.0
62,2017,215,152.0,15.0,0.0,6,6.0,394.0
62,2018,250,157.0,18.0,0.0,5,5.0,435.0
63,2016,119,44.0,33.0,0.0,0,0.0,196.0
63,2017,115,42.0,0.0,0.0,0,0.0,157.0
63,2018,127,42.0,23.0,0.0,0,0.0,192.0
64,2016,156,50.0,8.0,2.0,2,0.0,218.0
64,2017,169,39.0,8.0,0.0,5,5.0,226.0
64,2018,159,46.0,8.0,0.0,5,5.0,223.0
65,2016,46,47.0,1.0,0.0,0,0.0,94.0
65,2017,51,36.0,1.0,0.0,0,0.0,88.0
65,2018,44,32.0,0.0,0.0,0,0.0,76.0
66,2016,351,61.0,7.0,9.0,6,0.0,434.0
66,2017,364,73.0,7.0,0.0,6,9.0,459.0
66,2018,352,58.0,4.0,0.0,8,10.0,432.0
67,2016,270,79.0,18.0,1.0,1,0.0,369.0
67,2017,265,61.0,19.0,0.0,0,0.0,345.0
67,2018,114,22.0,13.0,0.0,0,0.0,149.0
68,2016,200,39.0,5.0,5.0,5,0.0,254.0
68,2017,189,39.0,6.0,0.0,4,5.0,243.0
68,2018,230,16.0,59.0,0.0,7,7.0,319.0
69,2016,756,190.0,10.0,6.0,6,0.0,968.0
69,2017,728,187.0,12.0,0.0,3,3.0,933.0
69,2018,731,190.0,10.0,0.0,5,5.0,941.0
70,2016,13,8.0,1.0,0.0,0,0.0,22.0
70,2017,19,6.0,2.0,0.0,0,0.0,27.0
70,2018,18,7.0,7.0,0.0,0,0.0,32.0
71,2016,86,24.0,35.0,4.0,2,0.0,151.0
71,2017,90,30.0,1.0,0.0,1,2.0,124.0
71,2018,54,16.0,1.0,0.0,0,0.0,71.0
72,2016,52,21.0,2.0,0.0,0,0.0,75.0
72,2017,56,32.0,1.0,0.0,0,0.0,89.0
72,2018,58,35.0,1.0,0.0,0,0.0,94.0
73,2016,137,122.0,10.0,2.0,2,0.0,273.0
73,2017,138,124.0,10.0,0.0,2,2.0,276.0
73,2018,113,73.0,7.0,0.0,0,0.0,193.0
74,2016,258,102.0,5.0,0.0,0,0.0,365.0
74,2017,244,97.0,5.0,0.0,1,1.0,348.0
74,2018,267,77.0,3.0,0.0,1,1.0,349.0
75,2018,0,1050.0,0.0,0.0,0,0.0,1050.0
76,2016,334,112.0,0.0,0.0,0,0.0,446.0
76,2017,330,112.0,0.0,0.0,0,0.0,442.0
76,2018,257,30.0,18.0,0.0,0,0.0,305.0
77,2016,664,145.0,7.0,12.0,13,0.0,841.0
77,2017,682,210.0,13.0,0.0,19,19.0,943.0
77,2018,633,134.0,6.0,0.0,8,8.0,789.0
78,2016,512,191.0,10.0,12.0,6,0.0,731.0
78,2017,537,184.0,10.0,0.0,10,12.0,753.0
78,2018,392,123.0,2.0,0.0,9,11.0,537.0
79,2016,34,14.0,14.0,0.0,1,0.0,63.0
79,2017,36,18.0,10.0,0.0,0,0.0,64.0
79,2018,39,20.0,9.0,0.0,0,0.0,68.0
80,2016,152,116.0,27.0,0.0,0,0.0,295.0
80,2017,149,100.0,17.0,0.0,0,0.0,266.0
80,2018,136,103.0,23.0,0.0,0,0.0,262.0
81,2016,83,24.0,14.0,2.0,0,0.0,123.0
81,2017,84,25.0,13.0,0.0,0,0.0,122.0
81,2018,87,37.0,5.0,0.0,1,1.0,131.0
82,2016,60,20.0,2.0,2.0,2,0.0,86.0
82,2017,65,20.0,3.0,0.0,2,2.0,92.0
82,2018,60,20.0,3.0,0.0,2,2.0,87.0
83,2016,829,187.0,25.5,5.0,4,0.0,1050.5
83,2017,793,121.0,21.0,0.0,6,6.0,947.0
83,2018,881,189.0,19.0,0.0,6,6.0,1101.0
84,2016,436,95.0,4.0,10.0,11,0.0,556.0
84,2017,452,112.0,7.0,0.0,2,2.0,575.0
84,2018,399,98.0,13.0,0.0,7,7.0,524.0
85,2016,93,54.0,4.0,2.0,2,0.0,155.0
85,2017,90,33.0,5.0,0.0,2,2.0,132.0
85,2018,108,38.0,5.0,0.0,2,2.0,155.0
86,2016,48,20.0,2.0,0.0,0,0.0,70.0
86,2017,48,27.0,2.0,0.0,0,0.0,77.0
86,2018,51,28.0,0.0,0.0,0,0.0,79.0
87,2016,79,21.0,2.0,3.0,3,0.0,108.0
87,2017,83,28.0,1.0,0.0,3,3.0,118.0
87,2018,80,20.0,1.0,0.0,0,0.0,101.0
88,2016,86,28.0,6.0,0.0,1,0.0,121.0
88,2017,84,13.0,6.0,0.0,0,0.0,103.0
88,2018,85,17.0,5.0,0.0,2,2.0,111.0
89,2016,56,13.0,18.0,0.0,0,0.0,87.0
89,2017,58,15.0,19.0,0.0,0,0.0,92.0
89,2018,58,15.0,13.0,0.0,0,0.0,86.0
90,2016,25,6.0,10.0,0.0,0,0.0,41.0
90,2017,156,9.0,6.0,0.0,1,2.0,174.0
90,2018,38,19.0,8.0,0.0,1,2.0,68.0
91,2016,338,133.0,7.0,13.0,13,0.0,504.0
91,2017,363,131.0,7.0,0.0,14,14.0,529.0
91,2018,421,136.0,6.0,0.0,27,26.0,616.0
92,2016,638,329.0,0.0,14.0,15,0.0,996.0
92,2017,669,356.0,3.0,0.0,17,14.0,1059.0
92,2018,623,351.0,0.0,0.0,19,16.0,1009.0
93,2016,506,205.0,0.0,15.0,13,0.0,739.0
93,2017,541,170.0,0.0,0.0,5,8.0,724.0
93,2018,446,135.0,0.0,0.0,19,19.0,619.0
94,2016,386,256.0,1.0,1.0,1,0.0,645.0
94,2017,412,283.0,1.0,0.0,6,6.0,708.0
94,2018,369,209.0,0.0,0.0,0,0.0,578.0
95,2016,423,133.0,2.0,9.0,9,0.0,576.0
95,2017,358,121.0,3.0,0.0,7,6.0,495.0
95,2018,461,142.0,4.0,0.0,17,17.0,641.0
971,2016,318,165.0,0.0,5.0,0,0.0,488.0
971,2017,323,134.0,0.0,0.0,0,4.0,461.0
971,2018,284,140.0,0.0,0.0,0,4.0,428.0
972,2016,198,109.0,1.0,0.0,0,0.0,308.0
972,2017,204,110.0,0.0,0.0,0,0.0,314.0
972,2018,190,108.0,0.0,0.0,0,0.0,298.0
973,2016,104,53.0,0.0,3.0,2,0.0,162.0
973,2017,119,53.0,0.0,0.0,2,4.0,178.0
973,2018,96,45.0,0.0,0.0,0,2.0,143.0
974,2016,252,85.0,2.0,0.0,0,0.0,339.0
974,2017,278,116.0,2.0,0.0,0,0.0,396.0
974,2018,280,77.0,1.0,0.0,0,0.0,358.0
976,2016,140,30.0,0.0,0.0,0,0.0,170.0
976,2017,132,46.0,0.0,0.0,0,0.0,178.0
976,2018,113,48.0,0.0,0.0,0,0.0,161.0
987,2018,295,43.0,0.0,0.0,0,0.0,338.0
